CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,InStore_COGS,UE_COGS,DD_COGS,SD_COGS,InStore_OPEX,UE_OPEX,DD_OPEX,SD_OPEX,UE_Commission,DD_Commission,InStore_Profit_Per_Order,UE_Profit_Per_Order,DD_Profit_Per_Order,SD_Profit_Per_Order,InStore_Margin_Percent,UE_Margin_Percent,DD_Margin_Percent,SD_Margin_Percent
Burgers,25731,Urban Burgers House,Cafe,North Shore,1.03,43.97,668,197,8662.09,212,118,141,9321.64,5188.46,6199.77,0.2087414306961,0.366171811125241,0.28,11,3.25,458.25,3682.14,1352.45,752.78,2177.19,0.42,0.45,0.25,0.3,1808.1370594183809,1945.8124700339933,1083.046563509487,1294.1488597867599,3171.813183429839,3413.3218014574913,1899.867795150868,2270.1810094599355,2610.0592,1452.7688,18.691065989847715,6.379481132075472,6.379491525423728,15.441063829787234,42.50867862144124,14.508713059075443,14.508736696437863,35.11727047938875
Burgers,25123,Urban Burgers Diner,QSR,South Auckland,1.05,40.45,1388,259,10476.55,508,282,339,20548.6,11406.9,13712.55,0.248216602616012,0.407612904394045,0.28,16,4.72,1600.08,3605.72,1318.61,731.99,3119.38,0.23,0.45,0.25,0.3,2600.4536481367804,5100.503680515384,2831.3819643805873,3403.682574202195,4270.376973529432,8375.874527231474,4649.599639132432,5589.412332148561,5753.608,3193.9320000000002,13.921698841698841,2.5956889763779527,2.595709219858156,9.201710914454278,34.41705523287724,6.41703084395044,6.417080889636974,22.748358255758415
Burgers,25177,King Burgers Eatery,Cafe,West Auckland,1.04,40.03,1717,524,20975.72,537,298,358,21496.11,11928.94,14330.74,0.219687956366688,0.407931713876314,0.3,11,3.25,1163.5,7810.95,1555.9,863.42,4172.99,0.44,0.45,0.25,0.3,4608.113060119865,4722.436475733526,2620.644450220839,3148.2909838223504,8556.661409389677,8768.944993973771,4866.1929389277175,5845.963329315848,6448.833,3578.6820000000002,14.906393129770992,2.897392923649907,2.8973825503355704,11.656396648044693,37.238054283714696,7.238053768798169,7.238027854947715,29.11915225591979
Burgers,25540,Classic Burgers Tavern,QSR,North Shore,1.03,36.28,1083,216,7836.48,390,217,260,14149.2,7872.76,9432.8,0.237290996648371,0.437815106310882,0.33,3,0.89,231.4,2546.02,-72.25,-40.2,2833.26,0.25,0.45,0.25,0.3,1859.5261494150263,3357.477769777131,1868.1350667734293,2238.318513184754,3430.9293243031,6194.733502213932,3446.8132563600593,4129.822334809287,4669.236000000001,2598.0108,11.78712962962963,-0.18525641025641026,-0.18525345622119818,10.897153846153847,32.48933194495488,-0.5106295762304582,-0.5106214339062793,30.03625646679671
Burgers,25258,Lucky Burgers Bistro,Cafe,South Auckland,1.05,34.34,1230,261,8962.74,436,242,291,14972.24,8310.28,9992.94,0.221437567938119,0.433456663764082,0.33,9,2.66,774.06,3093.09,226.17,125.53,2674.56,0.27,0.45,0.25,0.3,1984.6873476616965,3315.416412185823,1840.2081920847918,2212.812330151547,3884.959378584888,6489.817199475139,3602.1462437453756,4331.506433594645,4940.8392,2742.3924,11.850919540229885,0.5187385321100917,0.5187190082644628,9.190927835051546,34.51054030352326,1.5105956089402788,1.5105387544102002,26.76449573398819
Burgers,26138,King Burgers Kitchen,QSR,North Shore,1.03,36.88,827,160,5900.8,300,167,200,11064.0,6158.96,7376.0,0.265131494924426,0.395680021704175,0.29,13,3.84,768.0,2001.48,544.22,302.95,1733.85,0.24,0.45,0.25,0.3,1564.487925250053,2933.414859843849,1632.9342719797428,1955.6099065625663,2334.8286720719957,4377.803760134992,2436.9774264751454,2918.5358400899945,3208.56,1786.0983999999999,12.50925,1.8140666666666667,1.8140718562874252,8.66925,33.918790672451195,4.91883586406363,4.91884993570343,23.506643167028198
Burgers,25396,Urban Burgers Eatery,QSR,South Auckland,1.05,46.32,881,176,8152.32,317,176,212,14683.44,8152.32,9819.84,0.224100138861686,0.372992298309691,0.28,7,2.07,438.84,3284.63,1804.71,1001.98,3517.65,0.25,0.45,0.25,0.3,1826.9360440449,3290.560942967235,1826.9360440449,2200.6275075995386,3040.75257335606,5476.81003269245,3040.75257335606,3662.7246906334362,4111.363200000001,2282.6496,18.662670454545456,5.693091482649843,5.693068181818182,16.592688679245285,40.29073932328466,12.290784720746636,12.29073441670592,35.8218667513931
Burgers,25087,Urban Burgers Tavern,Ghost Kitchen,CBD,0.99,34.74,800,72,2501.28,328,182,218,11394.72,6322.68,7573.32,0.285647804650944,0.293128232413437,0.31,18,5.31,1157.58,1053.6,1267.37,703.23,2032.48,0.1,0.45,0.25,0.3,714.4851408173133,3254.8767526122047,1806.059661510431,2163.3022319190873,733.1957851710818,3340.1141324460386,1853.3560125157899,2219.9539051013307,3532.3632,1960.0308,14.633333333333333,3.863932926829268,3.863901098901099,9.323302752293579,42.12243331414315,11.12243214401056,11.122340526485603,26.837371192554915
Burgers,25125,Classic Burgers Tavern,Cafe,CBD,0.99,32.79,612,152,4984.08,207,115,138,6787.53,3770.85,4525.02,0.279599561002105,0.3755833853269,0.3,8,2.36,325.68,1718.6,304.2,169.0,1234.62,0.33,0.45,0.25,0.3,1393.5465799993713,1897.7904082886175,1054.3280046047876,1265.1936055257452,1871.9376391400958,2549.2834954078935,1416.2686085599407,1699.5223302719291,2036.2589999999998,1131.2549999999999,11.30657894736842,1.4695652173913043,1.4695652173913043,8.946521739130434,34.48179001942184,4.481748146969516,4.481748146969516,27.28429929591471
Burgers,25762,Lucky Burgers Cafe,QSR,South Auckland,1.05,36.07,572,128,4616.96,200,111,133,7214.0,4003.77,4797.31,0.22032218426466,0.43025645299349,0.27,11,3.25,432.25,1613.26,572.95,317.98,1244.03,0.29,0.45,0.25,0.3,1017.2187118625646,1589.4042372852573,882.1193516933178,1056.953817794696,1986.4768332128237,3103.8700518950372,1722.6478788017455,2064.0735845102,1947.7800000000002,1081.0179,12.60359375,2.8647500000000004,2.864684684684685,9.353609022556391,34.942039783753806,7.9421957305239825,7.942014651191252,25.931824293197643
